Min0,Min1,Min2,Min3,Min4,Max0,Max1,Max2,Max3,Max4,Mean0,Mean1,Mean2,Mean3,Mean4,Std0,Std1,Std2,Std3,Std4,Range0,Range1,Range2,Range3,Range4,Peaksen0peak0,Peaksen0peak1,Peaksen1peak0,Peaksen1peak1,Peaksen2peak0,Peaksen2peak1,Peaksen3peak0,Peaksen3peak1,Peaksen4peak0,Peaksen4peak1,Avg_mpu1,Avg_mpu2,Std_mpu1,Std_mpu2,Type_of_contact
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,-132.9,471.3,647.8,shove
0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0,0.1,0,0,2,0,0,0,2,0,1,1,1,0,58.3,-140.1,157.3,73.7,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,2,0,2,0,1,0,2,1,63.2,-164.6,204.1,102.8,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,-150.4,268.5,446,shove
0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49.2,-148.8,16.7,8.8,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-149.7,79.6,28.1,caress
0.5,0.3,0.5,0.4,0.6,0.6,0.3,0.5,0.4,0.6,0.5,0.3,0.5,0.4,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56.2,-151.2,4.6,9.4,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,-151.6,48.5,94.5,caress
0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,31.8,-181.7,86.6,133.3,squeeze
0.2,0.2,0.3,0.2,0.2,0.5,0.5,0.5,0.3,0.6,0.5,0.4,0.5,0.3,0.4,0.1,0.1,0.1,0,0.1,0.3,0.2,0.2,0.1,0.4,0,0,0,0,0,0,0,0,1,1,33.2,-155.9,41.1,31.3,hug
0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54.7,-141.6,11.1,10.3,hug
0.7,0.6,0.8,0.9,0.7,0.7,0.6,0.8,0.9,0.8,0.7,0.6,0.8,0.9,0.7,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,1,0,56,-149.7,5.9,4.7,choke
0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,-147.3,3.1,2.5,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4,-147.8,621.2,583.6,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,-151.6,12.9,14.5,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,-129.2,27.5,44.8,caress
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9,-103.6,57.8,140.7,caress
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0.2,0,0,3,0,0,0,1,0,1,0,58.9,-157.1,42,62.5,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.7,-127,55.6,58,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-144.4,14.6,15.6,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,1,1,1,0,0,0,1,1,87.6,-117.4,143,143.7,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,-134.9,339.3,72.3,shove
0.4,0.4,0.5,0.3,0.5,0.6,0.5,0.8,0.3,0.7,0.5,0.5,0.7,0.3,0.7,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.1,0.2,0,0,0,0,0,0,0,1,0,0,50.1,-168.2,28.2,38.9,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,60,-140.9,20.5,12.3,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9,-138,27.1,16.3,caress
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,-132.9,45.3,40.3,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.7,-380.2,658.6,1090.1,shove
0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0.1,0.1,0,0.1,3,0,2,0,3,0,2,0,3,0,53,-137.1,72.2,85.1,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2,-148.1,59.7,21.5,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,-148.2,4.1,2.8,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.4,-151.6,18.2,16.3,touch
0.6,0.6,0.6,0.8,0.5,0.6,0.6,0.7,0.8,0.5,0.6,0.6,0.7,0.8,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,92,-155.3,115.6,42.2,choke
0.3,0.4,0.4,0.2,0.3,0.4,0.5,0.5,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,1,0,0,0,1,0,0,0,-43.8,-288.8,35.1,41.1,choke
0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,-146.5,5.2,4.7,choke
0.4,0.3,0.4,0.2,0.3,0.4,0.3,0.5,0.2,0.3,0.4,0.3,0.4,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-148.9,2.4,2.4,hug
0.6,0.6,0.6,0.7,0.5,0.6,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.8,0.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,51.6,-136.4,79.3,31.3,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,-144.7,141.2,104.5,caress
0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.4,0.3,0.4,0.5,0.4,0.3,0.3,0,0,0.1,0.1,0,0.1,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,54.7,-171.7,82.3,72.7,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,-146.2,5.6,3.4,touch
0.4,0.5,0.4,0.2,0.4,0.6,0.7,0.6,0.4,0.6,0.5,0.6,0.5,0.3,0.5,0.1,0.1,0.1,0,0,0.2,0.2,0.2,0.1,0.1,1,0,0,0,0,0,0,0,0,0,37.8,-155.3,25.7,54.9,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,-117.4,35.2,59.1,caress
0.6,0.6,0.7,0.3,1.1,0.7,0.7,0.8,0.4,1.2,0.7,0.6,0.7,0.3,1.1,0.1,0,0,0,0,0.2,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,50.3,-146.4,9.9,9.7,choke
0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-145.5,5.3,3.2,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-346.9,592,567.7,shove
0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,-147.2,5.4,7.4,touch
0.6,0.6,0.5,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,-146.7,3.3,3.1,choke
0.2,0.2,0.3,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.2,0,0.1,0,0,1,1,0,0,1,1,0,0,1,0,76,-126.6,143.3,84.7,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.7,34.5,679.3,985.3,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,-160.5,76.1,43.3,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,-138.1,56,53.4,caress
0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.5,0.2,0.3,0.3,0.3,0.4,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.7,-148,2,2.6,hug
0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,-146.8,4,2.8,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,-54.5,-261.9,570,745.5,shove
0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,-147.4,1.8,2.3,hug
0.4,0.3,0.4,0.3,0.2,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56.4,-139,19.4,18.6,hug
0.8,0.6,0.9,1.1,0.7,0.8,0.6,0.9,1.1,0.8,0.8,0.6,0.9,1.1,0.8,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,58.1,-147.8,4.4,4.9,choke
0.8,0.6,0.5,0.7,0.5,0.8,0.6,0.5,0.8,0.5,0.8,0.6,0.5,0.7,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,46.1,-144,14.5,11.7,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.2,-132.2,42.8,25.9,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.6,-155.2,480,678.9,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,-152.6,10.6,7.5,touch
0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,48.7,-150.5,77,81.5,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,1,2,1,1,0,3,1,69,-143.9,64.5,68.7,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,60.6,-145.7,11.4,8.4,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,-152.5,113.4,43.6,caress
0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,-146.7,3.8,2.8,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,-144,50.8,45.2,caress
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,-160.8,24.1,27.8,touch
0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,3,0,3,0,2,0,2,0,3,0,109,-91.7,103.9,103.5,squeeze
0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,129.1,-118.7,112.3,89.5,hug
0.3,0.2,0.3,0.3,0.3,0.6,0.5,0.4,0.8,0.4,0.5,0.4,0.4,0.6,0.4,0.1,0.1,0,0.2,0.1,0.3,0.2,0.1,0.4,0.2,0,0,0,0,0,0,0,0,0,0,74,-206.3,7.4,64.7,choke
0.4,0.3,0.5,0.3,0.4,0.4,0.3,0.5,0.3,0.4,0.4,0.3,0.5,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,-150.6,6.2,7.1,hug
0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3,-143.2,14.9,19.7,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,48.7,-157.9,319.9,208.2,squeeze
0.7,0.6,0.5,0.6,0.4,0.8,0.6,0.5,0.6,0.5,0.7,0.6,0.5,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,-147.5,5,7,choke
0.6,0.5,0.6,0.6,0.5,0.7,0.6,0.9,0.8,0.7,0.7,0.6,0.8,0.7,0.6,0,0,0.1,0,0.1,0.1,0.1,0.3,0.1,0.2,0,0,0,0,1,0,0,0,0,0,22.3,-150.9,77.8,39,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.7,-15.7,1008.7,1231.2,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-113.8,-26.3,535.6,277.3,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3,-147.9,584.8,131.8,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,-148.2,5.8,2.7,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.8,-274,1000.3,1158.3,shove
0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0.1,0,0.1,0.1,0,0.2,0.1,0.1,2,1,0,1,0,2,2,1,1,0,72.3,-137.2,201,197.4,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-12.3,-205.6,330.4,524.5,shove
0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,-146.2,1.9,2.1,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,2,0,1,0,1,0,0,0,57.9,-137.6,161.1,116.4,squeeze
0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,-148,3.5,3.7,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,-129.6,217.1,232.9,caress
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,265.2,46.5,970.4,965.8,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7,-152.6,63.6,47.8,caress
0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0.1,0,0,0.1,0.1,3,0,0,0,1,0,3,0,3,0,36.4,-140.4,55.4,103.8,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.4,-121.1,532.5,159.8,shove
0.2,0.2,0.3,0.2,0.2,1.2,0.5,0.8,0.4,0.5,0.7,0.4,0.5,0.4,0.4,0.3,0.1,0.2,0.1,0.1,1,0.3,0.5,0.2,0.3,1,1,0,0,0,1,1,0,2,1,38.9,-150.4,88.6,113.2,choke
0.3,0.3,0.5,0.3,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7,-147.4,3.1,2.8,hug
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,1,77.8,-135,118.6,143.4,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4,-135.8,24.6,27.9,caress
0.6,0.6,0.7,0.3,1,0.8,0.7,0.8,0.4,1.1,0.6,0.6,0.8,0.4,1,0.1,0,0,0,0,0.3,0.1,0.1,0.1,0.1,0,1,0,1,1,0,0,1,0,0,44.8,-133,7.5,40.4,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,21.9,-134.7,121.8,129.5,squeeze
1.3,0.6,0.7,0.2,0.6,1.4,0.6,0.7,0.2,0.6,1.3,0.6,0.7,0.2,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-148.3,6.9,6.9,choke
0.5,0.5,0.6,0.7,0.4,0.6,0.6,0.6,0.7,0.4,0.6,0.5,0.6,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.4,-145.3,85.2,30.7,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,3,0,62.9,-138.8,122,37.9,squeeze
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,-146.4,3.7,4.3,touch
